bbl,bin,compltyear,unitsco,zoningdst1,latitude,longitude,lotarea,lotfront
3013380049,3421633,2016,3.0,R6,40.6765375415,-73.9250494434,1340,20.0000000
3013380051,3421634,2016,3.0,R6,40.6764828118,-73.9250546345,1340,20.0000000
3021697507,3059840,2012,4.0,R6,40.7075398043,-73.9631950935,1887,20.0000000
3001657501,3397443,2011,271.0,C6-4,40.6889349709,-73.98497484,18145,111.0000000
3071620075,3194256,2010,6.0,R5,40.5912434726,-73.9819514191,4000,40.0000000
3079070152,3412488,2011,2.0,R4,40.6458458394,-73.920415404,2100,21.0000000
3056007503,3136009,2018,3.0,R6,40.6367767737,-73.9855663119,2003,20.0000000
3071570069,3396917,2013,1.0,R4,40.5941980664,-73.9659120254,4680,48.5000000
3066437501,3396832,2011,24.0,R5B,40.6042406511,-73.9863805876,16000,0.0000000
3064467503,3168955,2011,6.0,R5,40.599043167,-73.9984398923,5156,93.7500000
3027497504,3397893,2011,33.0,R6,40.7160990814,-73.9456610627,10107,82.4900000
3076770067,3210854,2010,1.0,R2,40.6152375465,-73.950941721,5415,52.0000000
3003587503,3421452,2012,10.0,R6,40.6815648335,-74.0030785527,4000,40.0000000
3084950044,3425652,2018,2.0,R5,40.6167212808,-73.9211015099,1512,0.0000000
3084950041,3425649,2018,2.0,R5,40.616709335,-73.9212953839,1800,18.0000000
3084950045,3425653,2019,2.0,R5,40.6167252626,-73.9210368852,2352,28.0000000
3084950042,3425650,2017,2.0,R5,40.6167133169,-73.9212307592,1544,18.0000000
3084950043,3425651,2017,2.0,R5,40.6167172989,-73.9211661346,1512,18.0000000
3006857502,3010209,2016,7.0,R6,40.6545954322,-74.0014941288,2504,25.0000000
3027400017,3068220,2011,10.0,R6,40.7179306348,-73.9439413127,3519,25.0000000
3034360019,3079786,2012,7.0,R6,40.6904542961,-73.9056185617,2500,25.0000000
3018060005,3050768,2013,2.0,R6,40.6883230097,-73.9418060266,1000,20.0000000
3055187502,3397640,2011,3.0,R5,40.622602,-73.989323,6000,60.0000000
3055187502,3397638,2011,3.0,R5,40.6225498685,-73.9892753054,6000,60.0000000
3055187502,3397639,2012,3.0,R5,40.6226152463,-73.9893818967,6000,60.0000000
3027477502,3068369,2017,6.0,C1-1,40.7158703088,-73.9494490054,2500,25.0000000
3027477503,3068368,2017,6.0,R6,40.7158016712,-73.9494380244,2500,25.0000000
3024040019,3396897,2012,8.0,R6,40.7145510568,-73.9638979349,2093,22.5000000
3024040019,3396897,2012,7.0,R6,40.7145510568,-73.9638979349,2093,22.5000000
3024040020,3398344,2012,8.0,R6,40.7145510568,-73.9638979349,3565,35.6000000
3024040021,3398345,2012,8.0,R6,40.7145510568,-73.9638979349,3623,36.2300000
3024090024,3393849,2015,2.0,R6,40.7114035772,-73.9565008748,1600,20.0000000
3083807501,3388332,2011,3.0,R5,40.6159261331,-73.9181685787,3000,30.0000000
3056357505,3397865,2011,6.0,R6,40.6348429098,-73.9906890597,4007,40.0000000
3056357505,3397865,2011,3.0,R6,40.6348429098,-73.9906890597,4007,40.0000000
3054587502,3397632,2010,10.0,R6,40.6312174274,-73.988508551,5017,0.0000000
3023577501,3256317,2010,13.0,M1-2,40.7169888941,-73.9634177951,4786,71.0000000
3050837502,3396958,2011,29.0,R7-1,40.652935954,-73.9565135276,6200,40.0000000
3059870052,3151251,2015,2.0,R4,40.6274492046,-74.0301588368,5467,50.0000000
3066110085,3174943,2012,1.0,R5,40.6111872057,-73.9700790709,4000,40.0000000
3018907501,3054410,2011,49.0,R6,40.6938488334,-73.9664845487,20400,100.0000000
3072630112,3392249,2010,16.0,R6,40.5819867485,-73.9622920668,7125,50.0000000
3028837502,3398004,2011,8.0,R6,40.7163420011,-73.9422234785,3412,80.2700000
3023420019,3414418,2018,6.0,R6A,40.7176200421,-73.9607029401,2500,25.0000000
3053810065,3397199,2018,3.0,R5,40.6342529296,-73.9798761713,3106,31.0000000
3042090030,3414920,2015,3.0,R5,40.6754010385,-73.8756604898,2000,20.0000000
3032070013,3423702,2016,4.0,R6,40.6986521133,-73.9289242795,2375,25.0000000
3069160025,3187358,2010,6.0,R5,40.587314025,-73.9865636375,3867,40.0000000
3080330045,3225602,2018,3.0,R5,40.634372535,-73.9097867559,4000,40.0000000
3022900005,3397186,2018,51.0,R6A,40.7211045121,-73.9559475391,12860,100.0000000
3000557504,3398491,2016,16.0,R6A,40.701556606,-73.983485215,5000,50.0000000
3087630007,3423923,2013,45.0,R6,40.583981006,-73.9577778366,22400,144.0000000
3022927506,3425703,2015,4.0,M1-2,40.7191310171,-73.9535338859,2500,25.0000000
3025417502,3425470,2011,8.0,R6B,40.7322428668,-73.9535832037,2500,25.0000000
3022247506,3060943,2010,8.0,R6,40.7002048964,-73.9594856227,9000,100.0000000
3013470054,3399196,2010,48.0,R6,40.6754427696,-73.9341912313,19466,122.6700000
3042830101,3396333,2010,2.0,R5,40.6702710546,-73.8685438823,1700,42.5000000
3042830103,3396334,2010,2.0,R5,40.670350085,-73.8685624668,1700,42.5000000
3066130077,3175022,2011,1.0,R5,40.6109108661,-73.9673005741,4200,28.0000000
3056700033,3396990,2011,4.0,R6,40.6316228632,-73.9929764075,3005,30.0000000
3040790010,3090477,2011,2.0,R5,40.6668019949,-73.8839046297,1080,12.0000000
3039710047,3088390,2015,3.0,R5,40.6766088583,-73.8825883747,2990,29.6700000
3025397501,3064403,2010,7.0,M1-2,40.731328028,-73.9590835233,1875,25.0000000
3008507501,3397580,2011,5.0,R6,40.6373138842,-74.0091863717,2011,0.0000000
3048930016,3396956,2010,3.0,R5,40.650678699,-73.9402310886,2000,20.0000000
3048930015,3396955,2010,3.0,R5,40.6507269947,-73.9402365863,2000,20.0000000
3023310007,3062140,2012,8.0,M1-2,40.7150098223,-73.9536499499,2500,25.0000000
3023310008,3062141,2012,8.0,M1-2,40.7149690936,-73.9535829299,2500,25.0000000
3035690028,3396948,2010,3.0,R6,40.6629300758,-73.9155231447,2100,21.0000000
3019137515,3334944,2013,4.0,R8,40.6942020341,-73.957169906,2974,21.5000000
3076310059,3403400,2010,1.0,R4,40.6237046736,-73.9445849104,4000,40.0000000
3043080033,3423790,2010,2.0,R5,40.6631400225,-73.8851120945,2000,20.0000000
3050427501,3397829,2010,20.0,R6,40.657563462,-73.9582429085,7589,60.0800000
3027400030,3068229,2011,3.0,R6,40.7176076573,-73.943609489,2313,30.8300000
3027290002,3397510,2011,6.0,R6,40.7216910079,-73.9427082852,1277,21.5800000
3010487504,3396856,2011,22.0,R6B,40.665140457,-73.9889042752,11273,78.3700000
3019670048,3398022,2012,12.0,R6A,40.6870900098,-73.9571871988,3777,104.4200000
3047980065,3106789,2014,3.0,R6,40.6607010297,-73.9443749994,2000,20.0000000
3013407501,3414022,2014,2.0,R6,40.6767124932,-73.9365214449,1786,16.6700000
3054940123,3130934,2010,3.0,R5,40.6230563259,-73.9853630568,4010,27.0000000
3027717501,3397618,2010,8.0,R6,40.7133496284,-73.9434580252,2500,25.0000000
3032590013,3396999,2010,8.0,R6,40.7026466132,-73.9194270121,2500,25.0000000
3031740050,3413840,2012,6.0,R6,40.7022944834,-73.9273293956,2500,25.0000000
3019420049,3399748,2011,2.0,R6,40.689570754,-73.9557670656,1600,20.0000000
3019420048,3399747,2011,2.0,R6,40.6895792504,-73.9556981375,1600,20.0000000
3074170065,3423943,2014,2.0,R4,40.5914116508,-73.9547966185,2250,30.0000000
